cluster,gene,gini,local_mean,log_local_mean,Status,Reason,Category,is_labeled,is_signature,is_extra,rank_local_mean
CD8.c01.Tn.MAL,CTB-158D10.3,0.9994425900629619,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,CALM3,0.5301161054771445,0.6881537,0.52363545,Kept,None,Kept,False,False,False,622
CD8.c01.Tn.MAL,CTB-12A17.3,0.9994046246405087,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,PTGIR,0.9988841469698044,0.0032199058,0.003214733,Kept,None,Kept,False,False,False,12883
CD8.c01.Tn.MAL,GNG8,0.9983027066579936,0.008502009,0.0084660705,Kept,None,Kept,False,False,False,10900
CD8.c01.Tn.MAL,DACT3,0.9986412411579179,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,DACT3-AS1,0.9994450106400714,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,PRKD2,0.8626740962799263,0.15542528,0.14446849,Kept,None,Kept,False,False,False,3285
CD8.c01.Tn.MAL,STRN4,0.9754957427667449,0.016138285,0.016009448,Kept,None,Kept,False,False,False,9730
CD8.c01.Tn.MAL,CTB-174O21.2,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,FKRP,0.9919374181860745,0.010593079,0.010537365,Kept,None,Kept,False,False,False,10552
CD8.c01.Tn.MAL,SLC1A5,0.7882455468279418,0.28676912,0.25213453,Kept,None,Kept,False,False,False,1807
CD8.c01.Tn.MAL,CTB-147N14.6,0.9985936138113534,0.0063474583,0.006327398,Kept,None,Kept,False,False,False,11439
CD8.c01.Tn.MAL,AP2S1,0.727203581408676,0.28663257,0.2520284,Kept,None,Kept,False,False,False,1808
CD8.c01.Tn.MAL,ARHGAP35,0.9580193652061848,0.03872643,0.037995376,Kept,None,Kept,False,False,False,7664
CD8.c01.Tn.MAL,NPAS1,0.998952919548058,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,TMEM160,0.7468662424348661,0.2804243,0.2471915,Kept,None,Kept,False,False,False,1848
CD8.c01.Tn.MAL,ZC3H4,0.9671737308785087,0.03595695,0.035325587,Kept,None,Kept,False,False,False,7855
CD8.c01.Tn.MAL,SAE1,0.86395006047412,0.16799267,0.15528661,Filtered,Module_CellCycle_State,State Noise (Cell Cycle),False,False,False,3075
CD8.c01.Tn.MAL,BBC3,0.9399554910158058,0.08808636,0.08442052,Kept,None,Kept,False,False,False,5151
CD8.c01.Tn.MAL,CCDC9,0.9576421574223571,0.047012273,0.045940652,Kept,None,Kept,False,False,False,7103
CD8.c01.Tn.MAL,INAFM1,0.9747232514631733,0.0313938,0.030911092,Kept,None,Kept,False,False,False,8231
CD8.c01.Tn.MAL,C5AR1,0.9929820136785237,0.011923685,0.011853158,Kept,None,Kept,False,False,False,10320
CD8.c01.Tn.MAL,C5AR2,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,DHX34,0.9824888126934082,0.016416464,0.016283171,Kept,None,Kept,False,False,False,9697
CD8.c01.Tn.MAL,MEIS3,0.9988891197166174,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,SLC8A2,0.0,0.0,0.0,Kept,None,Kept,False,False,False,13346
CD8.c01.Tn.MAL,KPTN,0.9915654206810409,0.0053728605,0.005358478,Kept,None,Kept,False,False,False,11628
CD8.c01.Tn.MAL,NAPA-AS1,0.9788410663754439,0.023892948,0.023611978,Kept,None,Kept,False,False,False,8886
CD8.c01.Tn.MAL,NAPA,0.6514483060052385,0.40034857,0.33672118,Kept,None,Kept,False,False,False,1255
CD8.c01.Tn.MAL,ZNF541,0.998563847263368,0.011972034,0.011900936,Kept,None,Kept,False,False,False,10314
CD8.c01.Tn.MAL,CTD-3001H11.2,0.9961017193439154,0.0,0.0,Kept,None,Kept,False,False,False,13346
