,GZMK,CCL5,ANXA1,CX3CR1,KLRG1,GZMB,TCF7,LEF1,CCR7,RORC,CCR6,IL23R,IL7R,CCR7,SELL,FOXP3,IL2RA,IKZF2,ISG15,IFIT1,MX1,CXCL13,BCL6,ICA1,TBX21,IFNG,CXCR3,HAVCR2,LAG3,TOX,MKI67,TOP2A
CD4_ISG,0.21568627450980393,0.42483660130718953,0.6143790849673203,0.0,0.0784313725490196,0.08496732026143791,0.20261437908496732,0.23529411764705882,0.3202614379084967,0.032679738562091505,0.35947712418300654,0.026143790849673203,0.8627450980392157,0.3202614379084967,0.43790849673202614,0.19607843137254902,0.19607843137254902,0.05228758169934641,0.8431372549019608,0.43137254901960786,0.738562091503268,0.1830065359477124,0.0392156862745098,0.11764705882352941,0.17647058823529413,0.12418300653594772,0.3006535947712418,0.10457516339869281,0.29411764705882354,0.1437908496732026,0.0784313725490196,0.10457516339869281
CD4_Other,0.12814645308924486,0.2151029748283753,0.34782608695652173,0.006864988558352402,0.13958810068649885,0.07551487414187644,0.10755148741418764,0.37986270022883295,0.4096109839816934,0.07551487414187644,0.4874141876430206,0.11441647597254005,0.585812356979405,0.4096109839816934,0.6864988558352403,0.6407322654462243,0.5080091533180778,0.3340961098398169,0.7162471395881007,0.016018306636155607,0.37299771167048057,0.038901601830663615,0.06178489702517163,0.2288329519450801,0.16933638443935928,0.09839816933638444,0.43478260869565216,0.19679633867276888,0.2723112128146453,0.2540045766590389,0.2929061784897025,0.2654462242562929
CD4_Tem.EffMem,0.85,0.8666666666666667,0.68,0.0,0.17333333333333334,0.18666666666666668,0.09333333333333334,0.08,0.25333333333333335,0.006666666666666667,0.05333333333333334,0.0,0.5133333333333333,0.25333333333333335,0.14333333333333334,0.056666666666666664,0.02,0.023333333333333334,0.35,0.043333333333333335,0.2,0.02666666666666667,0.056666666666666664,0.023333333333333334,0.25666666666666665,0.2966666666666667,0.37333333333333335,0.08666666666666667,0.21,0.32666666666666666,0.043333333333333335,0.07333333333333333
CD4_Temra.EffMem,0.4148148148148148,0.9888888888888889,0.937037037037037,0.2518518518518518,0.5333333333333333,0.674074074074074,0.06666666666666667,0.08148148148148149,0.07407407407407407,0.007407407407407408,0.07777777777777778,0.011111111111111112,0.8074074074074075,0.07407407407407407,0.15185185185185185,0.025925925925925925,0.040740740740740744,0.037037037037037035,0.3962962962962963,0.018518518518518517,0.11481481481481481,0.014814814814814815,0.1,0.007407407407407408,0.4148148148148148,0.25925925925925924,0.28888888888888886,0.08888888888888889,0.24074074074074073,0.16666666666666666,0.022222222222222223,0.037037037037037035
CD4_Tfh,0.16333333333333333,0.45,0.5466666666666666,0.0016666666666666668,0.08333333333333333,0.19666666666666666,0.16333333333333333,0.21666666666666667,0.225,0.03,0.2683333333333333,0.018333333333333333,0.745,0.225,0.305,0.06666666666666667,0.10333333333333333,0.06666666666666667,0.4266666666666667,0.065,0.28833333333333333,0.5816666666666667,0.105,0.19,0.195,0.27,0.3016666666666667,0.19666666666666666,0.2916666666666667,0.43833333333333335,0.08333333333333333,0.10333333333333333
CD4_Th17,0.12166666666666667,0.5,0.8483333333333334,0.0,0.09333333333333334,0.135,0.13,0.11,0.26,0.12,0.6583333333333333,0.1,0.9566666666666667,0.26,0.08833333333333333,0.08833333333333333,0.085,0.03,0.3516666666666667,0.013333333333333334,0.14,0.045,0.043333333333333335,0.05,0.145,0.065,0.26166666666666666,0.06166666666666667,0.16833333333333333,0.18666666666666668,0.04,0.055
CD4_Tm.EffMem,0.30604982206405695,0.7061514997458058,0.8678190137264871,0.00864260294865277,0.14387391967463142,0.1733604473817997,0.13167259786476868,0.22114895780376206,0.25826131164209454,0.044229791560752414,0.37671581087951195,0.03253685815963396,0.8856126080325368,0.25826131164209454,0.18505338078291814,0.06558210472801221,0.07473309608540925,0.021860701576004067,0.37061514997458056,0.02389425521098119,0.18200305033045247,0.043213014743263854,0.061006609049313675,0.0315200813421454,0.20437214031520082,0.17996949669547535,0.38993390950686324,0.07371631926792069,0.20843924758515506,0.170310116929334,0.05693950177935943,0.06507371631926792
CD4_Tn.Naive,0.18524332810047095,0.27472527472527475,0.6562009419152276,0.0031397174254317113,0.14442700156985872,0.02511773940345369,0.37362637362637363,0.46781789638932497,0.5416012558869702,0.0423861852433281,0.34065934065934067,0.02511773940345369,0.869701726844584,0.5416012558869702,0.5164835164835165,0.141287284144427,0.11459968602825746,0.06593406593406594,0.30141287284144425,0.015698587127158554,0.20565149136577707,0.04866562009419152,0.06593406593406594,0.12087912087912088,0.1271585557299843,0.06279434850863422,0.2370486656200942,0.058084772370486655,0.0989010989010989,0.2119309262166405,0.08163265306122448,0.09105180533751962
CD4_Treg,0.03362151777137368,0.0643611911623439,0.11143131604226705,0.011527377521613832,0.0393852065321806,0.029779058597502402,0.043227665706051875,0.2862632084534102,0.24591738712776176,0.01633045148895293,0.4197886647454371,0.03170028818443804,0.7367915465898175,0.24591738712776176,0.6176753121998079,0.8069164265129684,0.4658981748318924,0.3871277617675312,0.5408261287223823,0.0845341018251681,0.34293948126801155,0.027857829010566763,0.05091258405379443,0.21998078770413065,0.09317963496637849,0.021133525456292025,0.2728146013448607,0.12776176753121998,0.15946205571565802,0.2641690682036503,0.07588856868395773,0.0845341018251681
