variant,n_top_eval,marker_recall_at_n,noise_fraction_at_n,mean_gene_gini_at_n,low_gini_fraction_at_n,high_gini_fraction_at_n,marker_recall_pct,noise_pct,low_gini_pct,high_gini_pct
filter_only,10,0.3284313725490196,0.047058823529411764,0.5534230926154783,0.029411764705882353,0.0,32.84313725490196,4.705882352941177,2.941176470588235,0.0
filter_only,20,0.41421568627450983,0.06680672268907563,0.5777868251248505,0.023529411764705882,0.0,41.42156862745098,6.680672268907563,2.3529411764705883,0.0
filter_only,30,0.4730392156862745,0.07955182072829131,0.5896209915146003,0.021568627450980395,0.0,47.30392156862745,7.955182072829131,2.1568627450980395,0.0
filter_only,50,0.5294117647058824,0.08504201680672269,0.5867586377539276,0.015294117647058824,0.0,52.94117647058824,8.504201680672269,1.5294117647058825,0.0
full_core,10,0.35294117647058826,0.0,0.6437567057263851,0.0,0.0,35.294117647058826,0.0,0.0,0.0
full_core,20,0.4411764705882353,0.0,0.6589862449309616,0.0,0.0,44.11764705882353,0.0,0.0,0.0
full_core,30,0.4852941176470588,0.0,0.6714159200076432,0.0,0.0,48.529411764705884,0.0,0.0,0.0
full_core,50,0.5367647058823529,0.0,0.6840208558148317,0.0011764705882352942,0.0,53.67647058823529,0.0,0.11764705882352942,0.0
regex_mask,10,0.35049019607843135,0.0,0.5709265079018133,0.011764705882352941,0.0,35.049019607843135,0.0,1.1764705882352942,0.0
regex_mask,20,0.428921568627451,0.0,0.5876766411850056,0.011764705882352941,0.0,42.892156862745104,0.0,1.1764705882352942,0.0
regex_mask,30,0.48039215686274506,0.00392156862745098,0.5993264684396129,0.011764705882352941,0.0,48.0392156862745,0.39215686274509803,1.1764705882352942,0.0
regex_mask,50,0.5367647058823529,0.007058823529411765,0.6018255185448116,0.00823529411764706,0.0,53.67647058823529,0.7058823529411765,0.823529411764706,0.0
standard,10,0.27941176470588236,0.12941176470588237,0.4619236304451028,0.18823529411764706,0.0,27.941176470588236,12.941176470588237,18.823529411764707,0.0
standard,20,0.3700980392156863,0.1823529411764706,0.46470322191847474,0.22352941176470587,0.0,37.00980392156863,18.23529411764706,22.352941176470587,0.0
standard,30,0.4436274509803922,0.1843137254901961,0.48162194705001476,0.20392156862745098,0.0,44.36274509803922,18.43137254901961,20.392156862745097,0.0
standard,50,0.5,0.19176470588235295,0.4821453289762485,0.18352941176470589,0.0,50.0,19.176470588235293,18.352941176470587,0.0
