,PDCD1,HAVCR2,LAG3,TOX,ISG15,IFIT1,MX1,STAT1,GZMK,LTB,AQP3,GZMB,PRF1,GNLY,CX3CR1,KLRG1,SLC4A10,KLRB1,TCF7,LEF1,CCR7,SELL,MKI67,TOP2A
CD8_Effector,0.10092961487383798,0.15803452855245684,0.4395750332005312,0.19256308100929614,0.3691899070385126,0.009296148738379814,0.12616201859229748,0.27224435590969454,0.43691899070385126,0.19256308100929614,0.0849933598937583,0.8286852589641435,0.899070385126162,0.6573705179282868,0.15272244355909695,0.50199203187251,0.0,0.36254980079681276,0.07702523240371846,0.0650730411686587,0.02656042496679947,0.0849933598937583,0.02390438247011952,0.021248339973439574
CD8_EffectorMemory,0.2914775592536561,0.12909732728189613,0.49672213817448313,0.22793746848209784,0.35047907211296014,0.015632879475542108,0.13262733232476046,0.27433182047402926,0.6333837619768028,0.30358043368633386,0.15481593545133637,0.535047907211296,0.6142208774583964,0.2551689359556228,0.022188603126575897,0.27584467977811394,0.002017145738779627,0.2102874432677761,0.07009581442259204,0.0600100857286939,0.11699445284921836,0.10640443772062531,0.08925869894099848,0.07665153807362582
CD8_Exhausted,0.5355603448275862,0.5086206896551724,0.7079741379310345,0.5581896551724138,0.43103448275862066,0.05495689655172414,0.2661637931034483,0.36745689655172414,0.47198275862068967,0.25862068965517243,0.14870689655172414,0.6142241379310345,0.6756465517241379,0.28663793103448276,0.0021551724137931034,0.06573275862068965,0.0,0.2478448275862069,0.05495689655172414,0.0334051724137931,0.08836206896551724,0.11745689655172414,0.11530172413793104,0.10775862068965517
CD8_ISG,0.39603960396039606,0.31683168316831684,0.7425742574257426,0.28217821782178215,0.8366336633663366,0.504950495049505,0.7722772277227723,0.6831683168316832,0.3613861386138614,0.2376237623762376,0.21782178217821782,0.7821782178217822,0.8118811881188119,0.5198019801980198,0.054455445544554455,0.18316831683168316,0.0049504950495049506,0.2871287128712871,0.0594059405940594,0.04950495049504951,0.13366336633663367,0.19306930693069307,0.10396039603960396,0.09405940594059406
CD8_MAIT,0.27666666666666667,0.056666666666666664,0.4266666666666667,0.17333333333333334,0.37,0.016666666666666666,0.16666666666666666,0.25333333333333335,0.36333333333333334,0.7066666666666667,0.6133333333333333,0.21666666666666667,0.6333333333333333,0.15,0.0,0.2866666666666667,0.2866666666666667,0.86,0.08333333333333333,0.02666666666666667,0.15333333333333332,0.03666666666666667,0.02,0.01
CD8_Naive,0.16,0.03666666666666667,0.22333333333333333,0.08333333333333333,0.3466666666666667,0.016666666666666666,0.17,0.3,0.45666666666666667,0.7,0.37666666666666665,0.15333333333333332,0.30333333333333334,0.07666666666666666,0.006666666666666667,0.17333333333333334,0.006666666666666667,0.17666666666666667,0.35,0.44666666666666666,0.6466666666666666,0.46,0.04,0.03
