,Hba-a1,Gypa,Cpa3,Mcpt8,Gata2,Fcer1a,Siglech,Bst2,Irf8,Cd79a,Ms4a1,Ebf1
B_Other,0.26666666666666666,0.21333333333333335,0.02666666666666667,0.2833333333333333,0.006666666666666667,0.023333333333333334,0.013333333333333334,0.84,0.41333333333333333,0.8766666666666667,0.2633333333333333,0.006666666666666667
Erythrocyte_like,0.89,0.9733333333333334,0.013333333333333334,0.10333333333333333,0.006666666666666667,0.01,0.0033333333333333335,0.06666666666666667,0.05333333333333334,0.05,0.006666666666666667,0.0
Mast_like,0.10333333333333333,0.16666666666666666,0.97,0.97,0.99,0.9333333333333333,0.0,0.4866666666666667,0.07,0.09333333333333334,0.013333333333333334,0.01
Mature_B,0.006666666666666667,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.21,0.7266666666666667,0.9933333333333333,0.8733333333333333,0.18666666666666668
pDC_Myeloid_like,0.16333333333333333,0.07333333333333333,0.0033333333333333335,0.09,0.0,0.01,0.9866666666666667,1.0,0.9966666666666667,0.12666666666666668,0.023333333333333334,0.01
