,PECAM1,VWF,CLDN5,ACKR1,CXCL12,CFD,C7,IL6,ACTA2,TAGLN,MMP11,COL1A1,MKI67,TOP2A,RGS5,MCAM,NOTCH3
Endothelial,0.85,0.7888888888888889,0.7011111111111111,0.41,0.4222222222222222,0.06666666666666667,0.11333333333333333,0.2311111111111111,0.19555555555555557,0.2777777777777778,0.03333333333333333,0.15,0.006666666666666667,0.006666666666666667,0.17555555555555555,0.39111111111111113,0.10666666666666667
Fibro_PVL,0.02,0.016923076923076923,0.015384615384615385,0.04923076923076923,0.26,0.1076923076923077,0.010769230769230769,0.15846153846153846,0.8646153846153846,0.8753846153846154,0.19076923076923077,0.5923076923076923,0.046153846153846156,0.046153846153846156,0.7384615384615385,0.6553846153846153,0.6938461538461539
Fibro_iCAF,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.05333333333333334,0.8066666666666666,0.53,0.18333333333333332,0.09666666666666666,0.42,0.4766666666666667,0.16333333333333333,0.85,0.01,0.01,0.06333333333333334,0.023333333333333334,0.14
Fibro_myCAF,0.03666666666666667,0.02666666666666667,0.02666666666666667,0.03666666666666667,0.6566666666666666,0.22666666666666666,0.06333333333333334,0.04,0.6633333333333333,0.7833333333333333,0.5533333333333333,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,0.043333333333333335,0.05,0.27
